Datums;AdministrativiTeritorialasVienibasNosaukums;ATVK;ApstiprinataCOVID19infekcija;14DienuKumulativaSaslimstiba
2021.07.01.;Adrese nav norādīta;Nav;…;…
2021.07.01.;Aizkraukles novads;0020000;0;8
2021.07.01.;Alūksnes novads;0021000;0;no 1 līdz 5
2021.07.01.;Augšdaugavas novads;0022000;no 1 līdz 5;33
2021.07.01.;Ādažu novads;0023000;no 1 līdz 5;12
2021.07.01.;Balvu novads;0024000;0;no 1 līdz 5
2021.07.01.;Bauskas novads;0025000;0;20
2021.07.01.;Cēsu novads;0026000;0;no 1 līdz 5
2021.07.01.;Daugavpils pilsēta;0002000;no 1 līdz 5;63
2021.07.01.;Dienvidkurzemes novads;0027000;0;16
2021.07.01.;Dobeles novads;0028000;0;12
2021.07.01.;Gulbenes novads;0029000;0;0
2021.07.01.;Jelgavas novads;0030000;no 1 līdz 5;7
2021.07.01.;Jelgavas pilsēta;0003000;0;22
2021.07.01.;Jēkabpils novads;0031000;0;17
2021.07.01.;Jūrmalas pilsēta;0004000;no 1 līdz 5;19
2021.07.01.;Krāslavas novads;0032000;no 1 līdz 5;7
2021.07.01.;Kuldīgas novads;0033000;no 1 līdz 5;16
2021.07.01.;Ķekavas novads;0034000;no 1 līdz 5;18
2021.07.01.;Liepājas pilsēta;0005000;no 1 līdz 5;19
2021.07.01.;Limbažu novads;0035000;no 1 līdz 5;14
2021.07.01.;Līvānu novads;0036000;no 1 līdz 5;8
2021.07.01.;Ludzas novads;0037000;0;12
2021.07.01.;Madonas novads;0038000;no 1 līdz 5;7
2021.07.01.;Mārupes novads;0039000;0;17
2021.07.01.;Ogres novads;0040000;0;13
2021.07.01.;Olaines novads;0041000;no 1 līdz 5;12
2021.07.01.;Preiļu novads;0042000;0;13
2021.07.01.;Rēzeknes novads;0043000;no 1 līdz 5;18
2021.07.01.;Rēzeknes pilsēta;0006000;no 1 līdz 5;9
2021.07.01.;Rīga;0001000;35;369
2021.07.01.;Ropažu novads;0044000;0;13
2021.07.01.;Salaspils novads;0045000;no 1 līdz 5;13
2021.07.01.;Saldus novads;0046000;0;no 1 līdz 5
2021.07.01.;Saulkrastu novads;0047000;0;7
2021.07.01.;Siguldas novads;0048000;6;44
2021.07.01.;Smiltenes novads;0049000;0;no 1 līdz 5
2021.07.01.;Talsu novads;0051000;no 1 līdz 5;6
2021.07.01.;Tukuma novads;0052000;0;15
2021.07.01.;Valkas novads;0053000;0;no 1 līdz 5
2021.07.01.;Valmieras novads;0054000;no 1 līdz 5;28
2021.07.01.;Varakļānu novads;0055000;0;0
2021.07.01.;Ventspils novads;0056000;0;no 1 līdz 5
2021.07.01.;Ventspils pilsēta;0007000;no 1 līdz 5;22
